country,type,year,n
Abu Dhabi,Asylum,2006,0
Abu Dhabi,Asylum,2007,0
Abu Dhabi,Asylum,2008,0
Abu Dhabi,Asylum,2009,0
Abu Dhabi,Asylum,2010,0
Abu Dhabi,Asylum,2011,0
Abu Dhabi,Asylum,2012,0
Abu Dhabi,Asylum,2013,0
Abu Dhabi,Asylum,2014,0
Abu Dhabi,Asylum,2015,0
Abu Dhabi,EU,2006,0
Abu Dhabi,EU,2007,0
Abu Dhabi,EU,2008,0
Abu Dhabi,EU,2009,0
Abu Dhabi,EU,2010,0
Abu Dhabi,EU,2011,0
Abu Dhabi,EU,2012,0
Abu Dhabi,EU,2013,0
Abu Dhabi,EU,2014,0
Abu Dhabi,EU,2015,0
Abu Dhabi,Family,2006,0
Abu Dhabi,Family,2007,0
Abu Dhabi,Family,2008,0
Abu Dhabi,Family,2009,0
Abu Dhabi,Family,2010,0
Abu Dhabi,Family,2011,0
Abu Dhabi,Family,2012,0
Abu Dhabi,Family,2013,0
Abu Dhabi,Family,2014,0
Abu Dhabi,Family,2015,0
Abu Dhabi,Other,2006,0
Abu Dhabi,Other,2007,0
Abu Dhabi,Other,2008,0
Abu Dhabi,Other,2009,0
Abu Dhabi,Other,2010,0
Abu Dhabi,Other,2011,0
Abu Dhabi,Other,2012,0
Abu Dhabi,Other,2013,0
Abu Dhabi,Other,2014,0
Abu Dhabi,Other,2015,0
Abu Dhabi,Study,2006,0
Abu Dhabi,Study,2007,0
Abu Dhabi,Study,2008,0
Abu Dhabi,Study,2009,0
Abu Dhabi,Study,2010,0
Abu Dhabi,Study,2011,0
Abu Dhabi,Study,2012,0
Abu Dhabi,Study,2013,0
Abu Dhabi,Study,2014,0
Abu Dhabi,Study,2015,0
Abu Dhabi,Work,2006,0
Abu Dhabi,Work,2007,0
Abu Dhabi,Work,2008,0
Abu Dhabi,Work,2009,0
Abu Dhabi,Work,2010,0
Abu Dhabi,Work,2011,0
Abu Dhabi,Work,2012,0
Abu Dhabi,Work,2013,0
Abu Dhabi,Work,2014,0
Abu Dhabi,Work,2015,0
Afghanistan,Asylum,2006,62
Afghanistan,Asylum,2007,40
Afghanistan,Asylum,2008,88
Afghanistan,Asylum,2009,253
Afghanistan,Asylum,2010,573
Afghanistan,Asylum,2011,536
Afghanistan,Asylum,2012,294
Afghanistan,Asylum,2013,361
Afghanistan,Asylum,2014,167
Afghanistan,Asylum,2015,147
Afghanistan,EU,2006,0
Afghanistan,EU,2007,0
